000001.SZ	无数据
000002.SZ	跳过:前序失败
000006.SZ	跳过:前序失败
000007.SZ	跳过:前序失败
000008.SZ	跳过:前序失败
000009.SZ	跳过:前序失败
000010.SZ	跳过:前序失败
000011.SZ	跳过:前序失败
000012.SZ	跳过:前序失败
000014.SZ	跳过:前序失败
000016.SZ	跳过:前序失败
000017.SZ	跳过:前序失败
000019.SZ	跳过:前序失败
000020.SZ	跳过:前序失败
000021.SZ	跳过:前序失败
000025.SZ	跳过:前序失败
000026.SZ	跳过:前序失败
000027.SZ	跳过:前序失败
000028.SZ	跳过:前序失败
000029.SZ	跳过:前序失败
000030.SZ	跳过:前序失败
000031.SZ	跳过:前序失败
000032.SZ	跳过:前序失败
000034.SZ	跳过:前序失败
000035.SZ	跳过:前序失败
000036.SZ	跳过:前序失败
000037.SZ	跳过:前序失败
000039.SZ	跳过:前序失败
000042.SZ	跳过:前序失败
000045.SZ	跳过:前序失败
000048.SZ	跳过:前序失败
000049.SZ	跳过:前序失败
000050.SZ	跳过:前序失败
000055.SZ	跳过:前序失败
000056.SZ	跳过:前序失败
000058.SZ	跳过:前序失败
000059.SZ	跳过:前序失败
000060.SZ	跳过:前序失败
000061.SZ	跳过:前序失败
000062.SZ	跳过:前序失败
000063.SZ	跳过:前序失败
000065.SZ	跳过:前序失败
000066.SZ	跳过:前序失败
000068.SZ	跳过:前序失败
000069.SZ	跳过:前序失败
000070.SZ	跳过:前序失败
000078.SZ	跳过:前序失败
000088.SZ	跳过:前序失败
000089.SZ	跳过:前序失败
000090.SZ	跳过:前序失败
000096.SZ	跳过:前序失败
000099.SZ	跳过:前序失败
000100.SZ	跳过:前序失败
000151.SZ	跳过:前序失败
000153.SZ	跳过:前序失败
000155.SZ	跳过:前序失败
000156.SZ	跳过:前序失败
000157.SZ	跳过:前序失败
000158.SZ	跳过:前序失败
000159.SZ	跳过:前序失败
000166.SZ	跳过:前序失败
000301.SZ	跳过:前序失败
000333.SZ	跳过:前序失败
000338.SZ	跳过:前序失败
000400.SZ	跳过:前序失败
000401.SZ	跳过:前序失败
000402.SZ	跳过:前序失败
000403.SZ	跳过:前序失败
000404.SZ	跳过:前序失败
000407.SZ	跳过:前序失败
000408.SZ	跳过:前序失败
000409.SZ	跳过:前序失败
000410.SZ	跳过:前序失败
000411.SZ	跳过:前序失败
000415.SZ	跳过:前序失败
000417.SZ	跳过:前序失败
000419.SZ	跳过:前序失败
000420.SZ	跳过:前序失败
000421.SZ	跳过:前序失败
000422.SZ	跳过:前序失败
000423.SZ	跳过:前序失败
000425.SZ	跳过:前序失败
000426.SZ	跳过:前序失败
000428.SZ	跳过:前序失败
000429.SZ	跳过:前序失败
000498.SZ	跳过:前序失败
000501.SZ	跳过:前序失败
000503.SZ	跳过:前序失败
000505.SZ	跳过:前序失败
000506.SZ	跳过:前序失败
000507.SZ	跳过:前序失败
000509.SZ	跳过:前序失败
000510.SZ	跳过:前序失败
000513.SZ	跳过:前序失败
000514.SZ	跳过:前序失败
000516.SZ	跳过:前序失败
000517.SZ	跳过:前序失败
000519.SZ	跳过:前序失败
000520.SZ	跳过:前序失败
000521.SZ	跳过:前序失败
000523.SZ	跳过:前序失败
000524.SZ	跳过:前序失败
000525.SZ	跳过:前序失败
000526.SZ	跳过:前序失败
000528.SZ	跳过:前序失败
000529.SZ	跳过:前序失败
000530.SZ	跳过:前序失败
000531.SZ	跳过:前序失败
000532.SZ	跳过:前序失败
000533.SZ	跳过:前序失败
000534.SZ	跳过:前序失败
000536.SZ	跳过:前序失败
000537.SZ	跳过:前序失败
000538.SZ	跳过:前序失败
000539.SZ	跳过:前序失败
000541.SZ	跳过:前序失败
000543.SZ	跳过:前序失败
000544.SZ	跳过:前序失败
000545.SZ	跳过:前序失败
000546.SZ	跳过:前序失败
000547.SZ	跳过:前序失败
000548.SZ	跳过:前序失败
000550.SZ	跳过:前序失败
000551.SZ	跳过:前序失败
000552.SZ	跳过:前序失败
000553.SZ	跳过:前序失败
000554.SZ	跳过:前序失败
000555.SZ	跳过:前序失败
000557.SZ	跳过:前序失败
000558.SZ	跳过:前序失败
000559.SZ	跳过:前序失败
000560.SZ	跳过:前序失败
000561.SZ	跳过:前序失败
000563.SZ	跳过:前序失败
000564.SZ	跳过:前序失败
000565.SZ	跳过:前序失败
000566.SZ	跳过:前序失败
000567.SZ	跳过:前序失败
000568.SZ	跳过:前序失败
000570.SZ	跳过:前序失败
000571.SZ	跳过:前序失败
000572.SZ	跳过:前序失败
000573.SZ	跳过:前序失败
000576.SZ	跳过:前序失败
000581.SZ	跳过:前序失败
000582.SZ	跳过:前序失败
000586.SZ	跳过:前序失败
000589.SZ	跳过:前序失败
000590.SZ	跳过:前序失败
000591.SZ	跳过:前序失败
000592.SZ	跳过:前序失败
000593.SZ	跳过:前序失败
000596.SZ	跳过:前序失败
000597.SZ	跳过:前序失败
000598.SZ	跳过:前序失败
000599.SZ	跳过:前序失败
000600.SZ	跳过:前序失败
000601.SZ	跳过:前序失败
000603.SZ	跳过:前序失败
000605.SZ	跳过:前序失败
000607.SZ	跳过:前序失败
000610.SZ	跳过:前序失败
000612.SZ	跳过:前序失败
000617.SZ	跳过:前序失败
000619.SZ	跳过:前序失败
000620.SZ	跳过:前序失败
000623.SZ	跳过:前序失败
000625.SZ	跳过:前序失败
000626.SZ	跳过:前序失败
000628.SZ	跳过:前序失败
000629.SZ	跳过:前序失败
000630.SZ	跳过:前序失败
000631.SZ	跳过:前序失败
000632.SZ	跳过:前序失败
000633.SZ	跳过:前序失败
000635.SZ	跳过:前序失败
000636.SZ	跳过:前序失败
000637.SZ	跳过:前序失败
000639.SZ	跳过:前序失败
000650.SZ	跳过:前序失败
000651.SZ	跳过:前序失败
000652.SZ	跳过:前序失败
000655.SZ	跳过:前序失败
000657.SZ	跳过:前序失败
000659.SZ	跳过:前序失败
000661.SZ	跳过:前序失败
000663.SZ	跳过:前序失败
000665.SZ	跳过:前序失败
000670.SZ	跳过:前序失败
000672.SZ	跳过:前序失败
000676.SZ	跳过:前序失败
000677.SZ	跳过:前序失败
000678.SZ	跳过:前序失败
000679.SZ	跳过:前序失败
000680.SZ	跳过:前序失败
000681.SZ	跳过:前序失败
000682.SZ	跳过:前序失败
000683.SZ	跳过:前序失败
000685.SZ	跳过:前序失败
000686.SZ	跳过:前序失败
000688.SZ	跳过:前序失败
000690.SZ	跳过:前序失败
000692.SZ	跳过:前序失败
000695.SZ	跳过:前序失败
000700.SZ	跳过:前序失败
000701.SZ	跳过:前序失败
000702.SZ	跳过:前序失败
000703.SZ	跳过:前序失败
000705.SZ	跳过:前序失败
000707.SZ	跳过:前序失败
000708.SZ	跳过:前序失败
000709.SZ	跳过:前序失败
000710.SZ	跳过:前序失败
000712.SZ	跳过:前序失败
000713.SZ	跳过:前序失败
000715.SZ	跳过:前序失败
000716.SZ	跳过:前序失败
000717.SZ	跳过:前序失败
000718.SZ	跳过:前序失败
000719.SZ	跳过:前序失败
000720.SZ	跳过:前序失败
000721.SZ	跳过:前序失败
000722.SZ	跳过:前序失败
000723.SZ	跳过:前序失败
000725.SZ	跳过:前序失败
000726.SZ	跳过:前序失败
000727.SZ	跳过:前序失败
000728.SZ	跳过:前序失败
000729.SZ	跳过:前序失败
000731.SZ	跳过:前序失败
000733.SZ	跳过:前序失败
000735.SZ	跳过:前序失败
000737.SZ	跳过:前序失败
000738.SZ	跳过:前序失败
000739.SZ	跳过:前序失败
000750.SZ	跳过:前序失败
000751.SZ	跳过:前序失败
000753.SZ	跳过:前序失败
000755.SZ	跳过:前序失败
000756.SZ	跳过:前序失败
000757.SZ	跳过:前序失败
000758.SZ	跳过:前序失败
000759.SZ	跳过:前序失败
000761.SZ	跳过:前序失败
000762.SZ	跳过:前序失败
000766.SZ	跳过:前序失败
000767.SZ	跳过:前序失败
000768.SZ	跳过:前序失败
000776.SZ	跳过:前序失败
000777.SZ	跳过:前序失败
000778.SZ	跳过:前序失败
000779.SZ	跳过:前序失败
000782.SZ	跳过:前序失败
000783.SZ	跳过:前序失败
000785.SZ	跳过:前序失败
000786.SZ	跳过:前序失败
000788.SZ	跳过:前序失败
000789.SZ	跳过:前序失败
000790.SZ	跳过:前序失败
000791.SZ	跳过:前序失败
000792.SZ	跳过:前序失败
000795.SZ	跳过:前序失败
000796.SZ	跳过:前序失败
000797.SZ	跳过:前序失败
000798.SZ	跳过:前序失败
000799.SZ	跳过:前序失败
000800.SZ	跳过:前序失败
000801.SZ	跳过:前序失败
000802.SZ	跳过:前序失败
000803.SZ	跳过:前序失败
000807.SZ	跳过:前序失败
000809.SZ	跳过:前序失败
000810.SZ	跳过:前序失败
000811.SZ	跳过:前序失败
000812.SZ	跳过:前序失败
000813.SZ	跳过:前序失败
000815.SZ	跳过:前序失败
000816.SZ	跳过:前序失败
000818.SZ	跳过:前序失败
000819.SZ	跳过:前序失败
000821.SZ	跳过:前序失败
000822.SZ	跳过:前序失败
000823.SZ	跳过:前序失败
000825.SZ	跳过:前序失败
000826.SZ	跳过:前序失败
000828.SZ	跳过:前序失败
000829.SZ	跳过:前序失败
000830.SZ	跳过:前序失败
000831.SZ	跳过:前序失败
000833.SZ	跳过:前序失败
000837.SZ	跳过:前序失败
000838.SZ	跳过:前序失败
000839.SZ	跳过:前序失败
000848.SZ	跳过:前序失败
000850.SZ	跳过:前序失败
000852.SZ	跳过:前序失败
000856.SZ	跳过:前序失败
000858.SZ	跳过:前序失败
000859.SZ	跳过:前序失败
000860.SZ	跳过:前序失败
000862.SZ	跳过:前序失败
000863.SZ	跳过:前序失败
000868.SZ	跳过:前序失败
000869.SZ	跳过:前序失败
000875.SZ	跳过:前序失败
000876.SZ	跳过:前序失败
000877.SZ	跳过:前序失败
000878.SZ	跳过:前序失败
000880.SZ	跳过:前序失败
000881.SZ	跳过:前序失败
000882.SZ	跳过:前序失败
000883.SZ	跳过:前序失败
000885.SZ	跳过:前序失败
000886.SZ	跳过:前序失败
000887.SZ	跳过:前序失败
000888.SZ	跳过:前序失败
000889.SZ	跳过:前序失败
000890.SZ	跳过:前序失败
000892.SZ	跳过:前序失败
000893.SZ	跳过:前序失败
000895.SZ	跳过:前序失败
000897.SZ	跳过:前序失败
000898.SZ	跳过:前序失败
000899.SZ	跳过:前序失败
000900.SZ	跳过:前序失败
000901.SZ	跳过:前序失败
000902.SZ	跳过:前序失败
000905.SZ	跳过:前序失败
000906.SZ	跳过:前序失败
000910.SZ	跳过:前序失败
000911.SZ	跳过:前序失败
000912.SZ	跳过:前序失败
000913.SZ	跳过:前序失败
000915.SZ	跳过:前序失败
000917.SZ	跳过:前序失败
000919.SZ	跳过:前序失败
000920.SZ	跳过:前序失败
000921.SZ	跳过:前序失败
000922.SZ	跳过:前序失败
000923.SZ	跳过:前序失败
000925.SZ	跳过:前序失败
000926.SZ	跳过:前序失败
000927.SZ	跳过:前序失败
000928.SZ	跳过:前序失败
000930.SZ	跳过:前序失败
000931.SZ	跳过:前序失败
000932.SZ	跳过:前序失败
000933.SZ	跳过:前序失败
000935.SZ	跳过:前序失败
000936.SZ	跳过:前序失败
000937.SZ	跳过:前序失败
000938.SZ	跳过:前序失败
000948.SZ	跳过:前序失败
000949.SZ	跳过:前序失败
000950.SZ	跳过:前序失败
000951.SZ	跳过:前序失败
000952.SZ	跳过:前序失败
000953.SZ	跳过:前序失败
000955.SZ	跳过:前序失败
000957.SZ	跳过:前序失败
000958.SZ	跳过:前序失败
000959.SZ	跳过:前序失败
000960.SZ	跳过:前序失败
000962.SZ	跳过:前序失败
000963.SZ	跳过:前序失败
000965.SZ	跳过:前序失败
000966.SZ	跳过:前序失败
000967.SZ	跳过:前序失败
000968.SZ	跳过:前序失败
000969.SZ	跳过:前序失败
000970.SZ	跳过:前序失败
000973.SZ	跳过:前序失败
000975.SZ	跳过:前序失败
000977.SZ	跳过:前序失败
000978.SZ	跳过:前序失败
000980.SZ	跳过:前序失败
000981.SZ	跳过:前序失败
000983.SZ	跳过:前序失败
000985.SZ	跳过:前序失败
000987.SZ	跳过:前序失败
000988.SZ	跳过:前序失败
000989.SZ	跳过:前序失败
000990.SZ	跳过:前序失败
000993.SZ	跳过:前序失败
000995.SZ	跳过:前序失败
000997.SZ	跳过:前序失败
000998.SZ	跳过:前序失败
000999.SZ	跳过:前序失败
001201.SZ	跳过:前序失败
001202.SZ	跳过:前序失败
001203.SZ	跳过:前序失败
001205.SZ	跳过:前序失败
001206.SZ	跳过:前序失败
001207.SZ	跳过:前序失败
001208.SZ	跳过:前序失败
001209.SZ	跳过:前序失败
001210.SZ	跳过:前序失败
001211.SZ	跳过:前序失败
001212.SZ	跳过:前序失败
001213.SZ	跳过:前序失败
001215.SZ	跳过:前序失败
001216.SZ	跳过:前序失败
001217.SZ	跳过:前序失败
001218.SZ	跳过:前序失败
001219.SZ	跳过:前序失败
001221.SZ	跳过:前序失败
001222.SZ	跳过:前序失败
001223.SZ	跳过:前序失败
001225.SZ	跳过:前序失败
001226.SZ	跳过:前序失败
001227.SZ	跳过:前序失败
001228.SZ	跳过:前序失败
